p_reward,value_reward
0.87,6.54
0.75,8.82
0.62,12.95
0.5,20.0
0.38,34.81
0.87,4.54
0.87,5.54
0.87,7.54
0.87,8.54
0.75,6.82
0.75,7.82
0.75,9.82
0.75,10.82
0.62,10.95
0.62,11.95
0.62,13.95
0.62,14.95
0.5,18.0
0.5,19.0
0.5,21.0
0.5,22.0
0.38,32.81
0.38,33.81
0.38,35.81
0.38,36.81
0.87,13.78
0.87,21.03
0.87,28.27
0.87,35.51
0.87,42.76
0.75,15.68
0.75,22.55
0.75,29.41
0.75,36.27
0.75,43.14
0.62,19.12
0.62,25.3
0.62,31.48
0.62,37.65
0.62,43.82
0.5,25.0
0.5,30.0
0.5,35.0
0.5,40.0
0.5,45.0
0.38,37.34
0.38,39.87
0.38,42.41
0.38,44.94
0.38,47.47
0.25,55.18
0.87,5.45
0.87,4.36
0.87,3.27
0.87,2.18
0.87,1.09
0.75,7.35
0.75,5.88
0.75,4.41
0.75,2.94
0.75,1.47
0.62,10.79
0.62,8.63
0.62,6.47
0.62,4.32
0.62,2.16
0.5,16.67
0.5,13.33
0.5,10.0
0.5,6.67
0.5,3.33
0.38,29.01
0.38,23.21
0.38,17.41
0.38,11.6
0.38,5.8
0.25,54.03
0.25,40.52
0.25,27.02
0.25,13.51
0.13,50.58
