category,p_reward,value_reward,ambiguity,SV_reward,SV_New_Safe,value_safe,deltaSV
Extr_neg,0.87,-50.0,0.0,-6.158501220773129,-3.0201577823339227,-9.469978399659762,-3.138343438439206
Extr_neg,0.75,-50.0,0.0,-5.30905277652856,-2.60358429511545,-7.0388938273139185,-2.70546848141311
Extr_neg,0.62,-50.0,0.0,-4.388816961930276,-2.1522963506287724,-4.811238050132739,-2.2365206113015037
Extr_neg,0.5,-50.0,0.0,-3.5393685176857064,-1.7357228634103001,-3.1298027275551745,-1.8036456542754062
Extr_neg,0.38,-50.0,0.0,-2.689920073441137,-1.319149376191828,-1.8083237248148305,-1.370770697249309
Extr_neg,0.25,-50.0,0.0,-1.7696842588428532,-0.8678614317051501,-0.7830517146418028,-0.9018228271377031
Extr_neg,0.13,-50.0,0.0,-0.9202358145982837,-0.45128794448667797,-0.2118906214229156,-0.46894787011160577
Extr_neg,0.5,-50.0,0.24,-3.3134014588993552,-1.6433767786136286,-2.743122834186995,-1.6700246802857266
Extr_neg,0.5,-50.0,0.5,-3.0686038118808083,-1.5433351867505676,-2.3529662773873343,-1.5252686251302408
Extr_neg,0.5,-50.0,0.74,-2.842636753094457,-1.4509891019538963,-2.019359285178151,-1.3916476511405609
Cent_SE_neg,0.87,-12.509601767352896,0.0,-3.0792506103865644,-3.0201577823339227,-9.469978399659762,-0.05909282805264171
Cent_SE_neg,0.75,-12.5096017673529,0.0,-2.65452638826428,-2.60358429511545,-7.0388938273139185,-0.050942093148830025
Cent_SE_neg,0.62,-12.5096017673529,0.0,-2.194408480965138,-2.1522963506287724,-4.811238050132739,-0.04211213033636563
Cent_SE_neg,0.5,-12.509601767352896,0.0,-1.7696842588428532,-1.7357228634103001,-3.1298027275551745,-0.033961395432553054
Cent_SE_neg,0.38,-12.509601767352896,0.0,-1.3449600367205685,-1.319149376191828,-1.8083237248148305,-0.02581066052874048
Cent_SE_neg,0.25,-12.509601767352896,0.0,-0.8848421294214266,-0.8678614317051501,-0.7830517146418028,-0.016980697716276527
Cent_SE_neg,0.13,-12.509601767352896,0.0,-0.46011790729914187,-0.45128794448667797,-0.2118906214229156,-0.008829962812463898
Cent_SE_neg,0.5,-12.509601767352896,0.24,-1.6567007294496776,-1.6433767786136286,-2.743122834186995,-0.013323950836048981
Cent_SE_neg,0.5,-12.509601767352896,0.5,-1.5343019059404042,-1.5433351867505676,-2.3529662773873343,0.009033280810163413
Cent_SE_neg,0.5,-12.509601767352896,0.74,-1.4213183765472286,-1.4509891019538963,-2.019359285178151,0.02967072540666771
Cent_SE_neg,0.87,-10.509601767352896,0.0,-2.822249856400749,-3.0201577823339227,-9.469978399659762,0.19790792593317352
Cent_SE_neg,0.75,-10.5096017673529,0.0,-2.4329740141385776,-2.60358429511545,-7.0388938273139185,0.17061028097687236
Cent_SE_neg,0.62,-10.5096017673529,0.0,-2.0112585183545573,-2.1522963506287724,-4.811238050132739,0.14103783227421518
Cent_SE_neg,0.5,-10.509601767352896,0.0,-1.6219826760923846,-1.7357228634103001,-3.1298027275551745,0.11374018731791558
Cent_SE_neg,0.38,-10.509601767352896,0.0,-1.2327068338302123,-1.319149376191828,-1.8083237248148305,0.08644254236161575
Cent_SE_neg,0.25,-10.509601767352896,0.0,-0.8109913380461923,-0.8678614317051501,-0.7830517146418028,0.05687009365895779
Cent_SE_neg,0.13,-10.509601767352896,0.0,-0.42171549578402,-0.45128794448667797,-0.2118906214229156,0.02957244870265796
Cent_SE_neg,0.5,-10.509601767352896,0.24,-1.5184289904878505,-1.6433767786136286,-2.743122834186995,0.12494778812577811
Cent_SE_neg,0.5,-10.509601767352896,0.5,-1.4062458310829389,-1.5433351867505676,-2.3529662773873343,0.1370893556676287
Cent_SE_neg,0.5,-10.509601767352896,0.74,-1.3026921454784048,-1.4509891019538963,-2.019359285178151,0.14829695647549146
Cent_SE_neg,0.87,-14.509601767352896,0.0,-3.316415136560659,-3.0201577823339227,-9.469978399659762,-0.29625735422673616
Cent_SE_neg,0.75,-14.5096017673529,0.0,-2.8589785660005687,-2.60358429511545,-7.0388938273139185,-0.2553942708851187
Cent_SE_neg,0.62,-14.5096017673529,0.0,-2.3634222812271366,-2.1522963506287724,-4.811238050132739,-0.21112593059836415
Cent_SE_neg,0.5,-14.509601767352896,0.0,-1.9059857106670455,-1.7357228634103001,-3.1298027275551745,-0.17026284725674534
Cent_SE_neg,0.38,-14.509601767352896,0.0,-1.4485491401069546,-1.319149376191828,-1.8083237248148305,-0.12939976391512653
Cent_SE_neg,0.25,-14.509601767352896,0.0,-0.9529928553335227,-0.8678614317051501,-0.7830517146418028,-0.08513142362837267
Cent_SE_neg,0.13,-14.509601767352896,0.0,-0.49555628477343183,-0.45128794448667797,-0.2118906214229156,-0.04426834028675386
Cent_SE_neg,0.5,-14.509601767352896,0.24,-1.7843001662044808,-1.6433767786136286,-2.743122834186995,-0.1409233875908522
Cent_SE_neg,0.5,-14.509601767352896,0.5,-1.6524741597033692,-1.5433351867505676,-2.3529662773873343,-0.10913897295280162
Cent_SE_neg,0.5,-14.509601767352896,0.74,-1.5307886152408046,-1.4509891019538963,-2.019359285178151,-0.07979951328690826
Zero_Reward,0.87,-0.0,0.0,0.0,-3.0201577823339227,-9.469978399659762,3.0201577823339227
Zero_Reward,0.75,-0.0,0.0,0.0,-2.60358429511545,-7.0388938273139185,2.60358429511545
Zero_Reward,0.62,-0.0,0.0,0.0,-2.1522963506287724,-4.811238050132739,2.1522963506287724
Zero_Reward,0.5,-0.0,0.0,0.0,-1.7357228634103001,-3.1298027275551745,1.7357228634103001
Zero_Reward,0.38,-0.0,0.0,0.0,-1.319149376191828,-1.8083237248148305,1.319149376191828
Zero_Reward,0.25,-0.0,0.0,0.0,-0.8678614317051501,-0.7830517146418028,0.8678614317051501
Zero_Reward,0.13,-1.8962678393005553e-31,0.0,5.551115123125783e-17,-0.45128794448667797,-0.2118906214229156,0.451287944486678
Zero_Reward,0.5,-2.340018001897879e-31,0.24,2.220446049250313e-16,-1.6433767786136286,-2.743122834186995,1.6433767786136289
Zero_Reward,0.5,-0.0,0.5,0.0,-1.5433351867505676,-2.3529662773873343,1.5433351867505676
Zero_Reward,0.5,-0.0,0.74,0.0,-1.4509891019538963,-2.019359285178151,1.4509891019538963
Int_neg,0.87,-1.391648368867342,0.0,-1.026416870128855,-3.0201577823339227,-9.469978399659762,1.9937409122050678
Int_neg,0.75,-1.3916483688673416,0.0,-0.8848421294214266,-2.60358429511545,-7.0388938273139185,1.7187421656940234
Int_neg,0.62,-1.391648368867342,0.0,-0.7314694936550461,-2.1522963506287724,-4.811238050132739,1.4208268569737263
Int_neg,0.5,-1.3916483688673416,0.0,-0.5898947529476177,-1.7357228634103001,-3.1298027275551745,1.1458281104626824
Int_neg,0.38,-1.3916483688673416,0.0,-0.44832001224018947,-1.319149376191828,-1.8083237248148305,0.8708293639516386
Int_neg,0.25,-1.3916483688673416,0.0,-0.29494737647380886,-0.8678614317051501,-0.7830517146418028,0.5729140552313412
Int_neg,0.13,-1.3916483688673416,0.0,-0.1533726357663806,-0.45128794448667797,-0.2118906214229156,0.29791530872029737
Int_neg,0.5,-1.391648368867341,0.24,-0.5522335764832258,-1.6433767786136286,-2.743122834186995,1.0911432021304028
Int_neg,0.5,-1.391648368867342,0.5,-0.5114339686468015,-1.5433351867505676,-2.3529662773873343,1.0319012181037661
Int_neg,0.5,-1.3916483688673416,0.74,-0.47377279218240953,-1.4509891019538963,-2.019359285178151,0.9772163097714868
Int_neg,0.87,-5.56232082662781,0.0,-2.05283374025771,-3.0201577823339227,-9.469978399659762,0.9673240420762128
Int_neg,0.75,-5.562320826627809,0.0,-1.7696842588428532,-2.60358429511545,-7.0388938273139185,0.8339000362725968
Int_neg,0.62,-5.56232082662781,0.0,-1.4629389873100922,-2.1522963506287724,-4.811238050132739,0.6893573633186802
Int_neg,0.5,-5.562320826627809,0.0,-1.1797895058952355,-1.7357228634103001,-3.1298027275551745,0.5559333575150647
Int_neg,0.38,-5.562320826627809,0.0,-0.8966400244803789,-1.319149376191828,-1.8083237248148305,0.4225093517114491
Int_neg,0.25,-5.562320826627809,0.0,-0.5898947529476177,-0.8678614317051501,-0.7830517146418028,0.27796667875753234
Int_neg,0.13,-5.562320826627809,0.0,-0.3067452715327612,-0.45128794448667797,-0.2118906214229156,0.14454267295391676
Int_neg,0.5,-5.562320826627807,0.24,-1.1044671529664516,-1.6433767786136286,-2.743122834186995,0.538909625647177
Int_neg,0.5,-5.56232082662781,0.5,-1.022867937293603,-1.5433351867505676,-2.3529662773873343,0.5204672494569647
Int_neg,0.5,-5.562320826627809,0.74,-0.9475455843648191,-1.4509891019538963,-2.019359285178151,0.5034435175890772
Int_neg,0.87,-22.23220582906223,0.0,-4.105667480515419,-3.0201577823339227,-9.469978399659762,-1.0855096981814962
Int_neg,0.75,-22.23220582906225,0.0,-3.539368517685707,-2.60358429511545,-7.0388938273139185,-0.9357842225702568
Int_neg,0.62,-22.23220582906224,0.0,-2.925877974620184,-2.1522963506287724,-4.811238050132739,-0.7735816239914115
Int_neg,0.5,-22.23220582906224,0.0,-2.359579011790471,-1.7357228634103001,-3.1298027275551745,-0.6238561483801708
Int_neg,0.38,-22.23220582906225,0.0,-1.793280048960758,-1.319149376191828,-1.8083237248148305,-0.47413067276893006
Int_neg,0.25,-22.23220582906224,0.0,-1.1797895058952355,-0.8678614317051501,-0.7830517146418028,-0.3119280741900854
Int_neg,0.13,-22.23220582906225,0.0,-0.6134905430655225,-0.45128794448667797,-0.2118906214229156,-0.16220259857884456
Int_neg,0.5,-22.23220582906224,0.24,-2.2089343059329036,-1.6433767786136286,-2.743122834186995,-0.565557527319275
Int_neg,0.5,-22.23220582906224,0.5,-2.0457358745872054,-1.5433351867505676,-2.3529662773873343,-0.5024006878366378
Int_neg,0.5,-22.23220582906224,0.74,-1.8950911687296381,-1.4509891019538963,-2.019359285178151,-0.4441020667757418
Int_neg,0.87,-34.729235779518135,0.0,-5.1320843506442735,-3.0201577823339227,-9.469978399659762,-2.1119265683103507
Int_neg,0.75,-34.729235779518156,0.0,-4.424210647107134,-2.60358429511545,-7.0388938273139185,-1.8206263519916837
Int_neg,0.62,-34.72923577951815,0.0,-3.65734746827523,-2.1522963506287724,-4.811238050132739,-1.5050511176464574
Int_neg,0.5,-34.72923577951815,0.0,-2.9494737647380886,-1.7357228634103001,-3.1298027275551745,-1.2137509013277885
Int_neg,0.38,-34.72923577951815,0.0,-2.2416000612009475,-1.319149376191828,-1.8083237248148305,-0.9224506850091194
Int_neg,0.25,-34.72923577951815,0.0,-1.4747368823690443,-0.8678614317051501,-0.7830517146418028,-0.6068754506638943
Int_neg,0.13,-34.729235779518156,0.0,-0.7668631788319031,-0.45128794448667797,-0.2118906214229156,-0.31557523434522516
Int_neg,0.5,-34.72923577951815,0.24,-2.7611678824161294,-1.6433767786136286,-2.743122834186995,-1.1177911038025008
Int_neg,0.5,-34.72923577951815,0.5,-2.557169843234007,-1.5433351867505676,-2.3529662773873343,-1.0138346564834395
Int_neg,0.5,-34.729235779518156,0.74,-2.368863960912048,-1.4509891019538963,-2.019359285178151,-0.9178748589581516
